Time	Frequency
0	0.999999909
10	0.999907263
20	0.999907277
30	0.999907278
40	0.999907283
50	0.999907306
60	0.999907286
70	0.999907302
80	0.999907299
90	0.999907295
100	0.999907288
110	0.999907297
120	0.999907292
130	0.999907295
140	0.999907299
150	0.999907257
160	0.999907289
170	0.999907293
180	0.999907288
190	0.999907288
200	0.999907288
210	0.999907293
220	0.999907287
230	0.999907287
240	0.999907283
250	0.999907287
260	0.999907288
270	0.999907288
280	0.999907287
290	0.999907287
300	0.999907256
310	0.999907287
320	0.999907287
330	0.999907287
340	0.999907287
350	0.999907287
360	0.999907287
370	0.999907287
380	0.999907287
390	0.999907292
400	0.999907287
410	0.999907287
420	0.999907287
430	0.999907287
440	0.999907287
450	0.999907287
460	0.999907287
470	0.999907287
480	0.999907287
490	0.999907287
500	0.999907287
510	0.999907285
520	0.999907287
530	0.999907287
540	0.999907287
550	0.999907292
560	0.999907287
570	0.999907287
580	0.999907287
590	0.999907292
600	0.999907286
610	0.999907286
620	0.999907286
630	0.999907286
640	0.999907286
650	0.999907286
660	0.999907287
670	0.999907286
680	0.999907286
690	0.999907286
700	0.999907286
710	0.999907286
720	0.999907286
730	0.999907286
740	0.999907286
750	0.999907286
760	0.999907286
770	0.999907286
780	0.999907286
790	0.999907286
800	0.999907286
810	0.999907286
820	0.999907287
830	0.999907286
840	0.999907286
850	0.999907287
860	0.999907286
870	0.999907286
880	0.999907286
890	0.999907286
900	0.999907286
910	0.999907286
920	0.999907286
930	0.999907286
940	0.999907287
950	0.999907286
960	0.999907286
970	0.999907286
980	0.999907286
990	0.999907286
1000	0.999921715
1010	0.999917196
1020	0.999917194
1030	0.999917194
1040	0.999917194
1050	0.999917194
1060	0.999917194
1070	0.999917194
1080	0.999917194
1090	0.999917194
1100	0.999917194
1110	0.999917194
1120	0.999917194
1130	0.99991718
1140	0.999917194
1150	0.999917194
1160	0.999917194
1170	0.999917194
1180	0.999917194
1190	0.999917194
1200	0.999917194
1210	0.999917194
1220	0.999917194
1230	0.999917194
1240	0.999917194
1250	0.999917194
1260	0.999917194
1270	0.999917194
1280	0.999917194
1290	0.999917194
1300	0.999917194
1310	0.999917194
1320	0.999917194
1330	0.999917194
1340	0.999917194
1350	0.999917194
1360	0.999917194
1370	0.999917194
1380	0.999917194
1390	0.999909938
1400	0.999912074
1410	0.999912074
1420	0.999912074
1430	0.999912074
1440	0.999912074
1450	0.999912074
1460	0.999912074
1470	0.999912074
1480	0.999912074
1490	0.999912074
1500	0.999912063
1510	0.999912067
1520	0.999912067
1530	0.999912067
1540	0.999912067
1550	0.999912067
1560	0.999912067
1570	0.999912067
1580	0.999912067
1590	0.999912067
1600	0.999912067
1610	0.999912067
1620	0.999912067
1630	0.999912067
1640	0.999912067
1650	0.999912067
1660	0.999912067
1670	0.999912067
1680	0.999912067
1690	0.999912067
1700	0.999912067
1710	0.999912067
1720	0.999912067
1730	0.999912067
1740	0.999912067
1750	0.999912067
1760	0.999912067
1770	0.999912067
1780	0.999912067
1790	0.999912067
1800	0.999912067
1810	0.999912067
1820	0.999912067
1830	0.999912067
1840	0.999912067
1850	0.999912067
1860	0.999912067
1870	0.999912067
1880	0.999912067
1890	0.999912067
1900	0.999912067
1910	0.999912067
1920	0.999912067
1930	0.999912067
1940	0.999905593
1950	0.999905593
1960	0.999905593
1970	0.999905593
1980	0.999905593
1990	0.999905593
2000	0.999905593
2010	0.999905593
2020	0.999905593
2030	0.999905593
2040	0.999905593
2050	0.999905593
2060	0.999905593
2070	0.999905593
2080	0.999905593
2090	0.999905593
2100	0.999905593
2110	0.999905593
2120	0.999905593
2130	0.999905593
2140	0.999905593
2150	0.999905593
2160	0.999905593
2170	0.999905593
2180	0.999905593
2190	0.999905593
2200	0.999905593
2210	0.999905593
2220	0.999905593
2230	0.999905593
2240	0.999905593
2250	0.999905591
2260	0.999905593
2270	0.999905593
2280	0.999905593
2290	0.999905593
2300	0.999905593
2310	0.999905593
2320	0.999905593
2330	0.999905593
2340	0.999905593
2350	0.999905593
2360	0.999905593
2370	0.999905593
2380	0.999905593
2390	0.999905593
2400	0.999905593
2410	0.999905593
2420	0.999905593
2430	0.999905593
2440	0.999905593
2450	0.999905593
2460	0.999905593
2470	0.999905593
2480	0.999905593
2490	0.999905593
2500	0.999905593
2510	0.999905593
2520	0.999905593
2530	0.999905593
2540	0.999905593
2550	0.999905593
2560	0.999905593
2570	0.999905593
2580	0.999905593
2590	0.999905593
2600	0.999905593
2610	0.999905593
2620	0.999905593
2630	0.999905593
2640	0.999905593
2650	0.999905593
2660	0.999905593
2670	0.999905593
2680	0.999905593
2690	0.99987424
2700	0.99987424
2710	0.99987424
2720	0.99987424
2730	0.99987424
2740	0.99987424
2750	0.99987424
2760	0.99987424
2770	0.99987424
2780	0.99987424
2790	0.99987424
2800	0.99987424
2810	0.99987424
2820	0.99987424
2830	0.99987424
2840	0.99987424
2850	0.99987424
2860	0.99987424
2870	0.99987424
2880	0.99987424
2890	0.99987424
2900	0.99987424
2910	0.99987424
2920	0.99987424
2930	0.99987424
2940	0.99987424
2950	0.99987424
2960	0.99987424
2970	0.99987424
2980	0.99987424
2990	0.99987424
3000	0.999760384
3010	0.997715543
3020	0.984206755
3030	0.931388112
3040	0.830959807
3050	0.703083272
3060	0.56674837
3070	0.435996263
3080	0.322162378
3090	0.232319279
3100	0.167100783
3110	0.121670161
3120	0.088922014
3130	0.061908251
3140	0.050156637
3150	0.041550092
3160	0.034967441
3170	0.02979191
3180	0.025651455
3190	0.022300639
3200	0.019567101
3210	0.01732442
3220	0.015476885
3230	0.013950316
3240	0.012686184
3250	0.011637683
3260	0.010766997
3270	0.010043336
3280	0.009441484
3290	0.008940697
3300	0.008523856
3310	0.008176799
3320	0.007887787
3330	0.007647078
3340	0.007446576
3350	0.007279554
3360	0.007140411
3370	0.00702449
3380	0.006927912
3390	0.006847447
3400	0.006780405
3410	0.006724548
3420	0.006678007
3430	0.00663923
3440	0.006606921
3450	0.00658
3460	0.00655757
3470	0.006538881
3480	0.006523309
3490	0.006510334
3500	0.006499523
3510	0.006490515
3520	0.00648301
3530	0.006476756
3540	0.006471545
3550	0.006467204
3560	0.006463586
3570	0.006460572
3580	0.006458061
3590	0.006455968
3600	0.006454224
3610	0.006452772
3620	0.006451561
3630	0.006450553
3640	0.006449712
3650	0.006449012
3660	0.006448429
3670	0.006447942
3680	0.006447537
3690	0.0064472
3700	0.006446919
3710	0.006446684
3720	0.006446489
3730	0.006447717
3740	0.0064516
3750	0.006454666
3760	0.006457114
3770	0.006459091
3780	0.006460702
3790	0.006462023
3800	0.006463111
3810	0.006464011
3820	0.006464756
3830	0.006465374
3840	0.006465887
3850	0.006466314
3860	0.006466668
3870	0.006466963
3880	0.006467208
3890	0.006467412
3900	0.006467581
3910	0.006467721
3920	0.006467837
3930	0.006467933
3940	0.006468013
3950	0.006468077
3960	0.00646813
3970	0.006468173
3980	0.006468206
3990	0.006468232
4000	0.006468251
4010	0.006468264
4020	0.00646827
4030	0.006468271
4040	0.006468267
4050	0.006468257
4060	0.006468241
4070	0.006468218
4080	0.006468188
4090	0.00646815
4100	0.006468101
4110	0.006468042
4120	0.006467969
4130	0.006467881
4140	0.006467774
4150	0.006467644
4160	0.006467488
4170	0.0064673
4180	0.006467074
4190	0.006466802
4200	0.006466475
4210	0.006466083
4220	0.006465611
4230	0.006465044
4240	0.006464363
4250	0.006463546
4260	0.006462564
4270	0.006461385
4280	0.006459969
4290	0.006458269
4300	0.006456227
4310	0.006453775
4320	0.006450831
4330	0.006447295
4340	0.006443049
4350	0.00643795
4360	0.006431826
4370	0.006424472
4380	0.006415638
4390	0.006405027
4400	0.006392279
4410	0.006376961
4420	0.006358549
4430	0.006336409
4440	0.006309769
4450	0.006277687
4460	0.006238998
4470	0.006192253
4480	0.006135613
4490	0.006066687
4500	0.006035914
4510	0.006468676
4520	0.006879898
4530	0.00726865
4540	0.007634579
4550	0.007977661
4560	0.008298045
4570	0.008595965
4580	0.008871691
4590	0.009125502
4600	0.009357667
4610	0.00956844
4620	0.009758052
4630	0.009926714
4640	0.01007461
4650	0.010201901
4660	0.010308722
4670	0.010395185
4680	0.010461377
4690	0.010507362
4700	0.010533178
4710	0.010538841
4720	0.010524343
4730	0.010489651
4740	0.010434705
4750	0.010359423
4760	0.010263694
4770	0.010147376
4780	0.010010302
4790	0.009852269
4800	0.009673039
4810	0.009472336
4820	0.00924984
4830	0.009005184
4840	0.008737942
4850	0.008447626
4860	0.00813367
4870	0.007795417
4880	0.007432095
4890	0.007042794
4900	0.006626421
4910	0.006181646
4920	0.005706813
4930	0.005199808
4940	0.004657829
4950	0.004076995
4960	0.003451561
4970	0.002772173
4980	0.002021009
4990	0.001151273