Sample	Phi2	RelativeChlorophyll
Col-0	0.706	27.222
Col-0	0.706	27.192
Col-0	0.693	25.931
Col-0	0.704	26.472
Col-0	0.7	28.872
Col-0	0.698	27.958
S1-1	0.698	25.528
S1-1	0.694	25.959
S1-1	0.703	26.13
S1-1	0.717	25.493
S1-1	0.689	24.367
S1-1	0.698	21.964
S1-1-irt1(E32fs)	0.155	7.197
S1-1-irt1(E32fs)	0.187	7.197
S1-1-irt1(E32fs)	0.11	7.197
S1-1-irt1(E32fs)	0.123	7.197
S1-1-irt1(E32fs)	0.141	7.197
S1-1-irt1(E32fs)	0.212	7.197
S1-1-irt1(A62fs)	0.186	7.197
S1-1-irt1(A62fs)	0.209	7.197
S1-1-irt1(A62fs)	0.26	7.197
S1-1-irt1(A62fs)	0.205	7.197
S1-1-irt1(A62fs)	0.147	7.197
S1-1-irt1(A62fs)	0.17	7.197
F10-13-1	0.153	7.197
F10-13-1	0.454	7.197
F10-13-1	0.379	7.197
F10-13-1	0.188	7.197
F10-13-1	0.217	7.197
F10-13-1	0.213	7.197
F13-8	0.671	19.579
F13-8	0.657	21.452
F13-8	0.697	24.544
F13-8	0.701	20.907
F13-8	0.664	25.179
F13-8	0.606	23.988
F3-2	0.731	19.876
F3-2	0.714	23.052
F3-2	0.703	21.927
F3-2	0.704	24.933
F3-2	0.721	23.537
F3-2	0.705	21.021