Sample	Replicate	Mn	Fe
Col-0	A1	135.159	78.48
Col-0	A2	118.592	66.467
Col-0	A3	127.521	66.879
S1-1	B1	197.375	107.968
S1-1	B2	202.285	90.337
S1-1	B3	193.417	94.044
F3-2	C1	362.468	61.941
F3-2	C2	348.453	49.147
F3-2	C3	381.905	50.264
F13-8	D1	327.439	40.347
F13-8	D2	362.075	38.234
F13-8	D3	313.194	40.415
F10-13-1	E1	496.468	33.262
F10-13-1	E2	541.201	33.911
F10-13-1	E3	613.34	36.532
S1-1-irt1(A62fs)	F1	669.84	34.34
S1-1-irt1(A62fs)	F2	707.779	36.579
S1-1-irt1(E32fs)	G1	723.635	75.937
S1-1-irt1(E32fs)	G2	724.425	32.322
S1-1-irt1(E32fs)	G3	585.237	35.782